Title,URL,Address,Compensation,Employment Type,Description
Fashion startup seeking Software Engineer,https://sfbay.craigslist.org/pen/sof/d/fashion-startup-seeking/6627594334.html,menlo park,TBD,full-time,"Who We Are

Allume (www.allume.co) is an online styling service for busy professional women. We combine human connection and data science to provide a WOW experience that clients can't get other places. Our team is passionate about making clients happy, supporting each other, and building an iconic brand. We are backed by True Ventures and GGV Capital and based in Menlo Park, CA. We are growing fast and looking for amazing folks to join us!

What We're Looking For

We are working on tons of exciting projects spanning client interfaces, stylist tools, elastic search, and payment and order processing. Our ""secret sauce"" is a deep data system to support client-stylist match and machine-learning driven recommendations on clothing and looks. Our front-end code is primarily built with jQuery and deployed on NGINX. Our overall tech-stack is mainly composed of Python/Django, Redis, Docker, Celery and is hosted on AWS. We are seeking a developer who is excited to join a small, early-stage team where he/she can be a critical part of designing and building out this critical infrastructure.

What You'll Do

Build tools that help our stylists to efficiently create the best matching lookbooks for our clients. You'll be working with the data team to incorporate their recommendation algorithms.
Develop various back-end services and UI/UX to support our client-facing website where our customers interact with their lookbooks and place orders
Work closely with product managers, designers, and business teams to understand needs, propose solutions, and deliver final projects
Improve our infrastructure services/components to achieve greater scalability, performance, efficiency, and reliability
Measure and optimize performance of production systems

What We'd Like to See in You

2+ years development experience, with strong Python/Django
2+ years development experience with MySQL
2+ years development experience with JavaScript, CSS, and HTML5. Awareness of cross-browser compatibility issues and client-side performance considerations.
Experience with jQuery, SASS, Twitter Bootstrap
Good understanding of Linux, algorithms, data structures, network protocols and web services
Strong desire to learn and grow. Excited to contribute.
Write high quality code that's easy to maintain.
Comfortable working fast and adapting to changing needs.
Strong desire to build products that make users happy.
Great team player with excellent communication skills.
B.S. in Computer Science or equivalent.

And for Bonus Points...

Experience developing python/Django applications will be awesome!
Mobile experience (iOS or Android) would be cool. We'll be creating applications for clients and stylist.

Why Join Us

We believe that tech will reinvent fashion. The human desire for clothes that make you feel great has always been there. Now, we can use tools and data to give clients deeply personalized service.
We believe that we are building a really big company. The $350BN US fashion industry is ripe for disruption. And, we believe that a new way to shop will take a huge part of that spend. We backed this up by being generous with equity. We want our success to be your success.
We are passionate about making our customers happy (both clients and stylists).
We are committed to each team member's personal growth. We will give you hard, interesting projects that stretch you. We encourage autonomy and accountability. Your contributions make a big difference.
We are committed to everyone's voice being heard regardless of function or level. We are committed to transparency of information and feedback.
We are committed to enjoying the folks we work with. We are a deeply passionate and committed team. We are genuinely happy to be at work each day.
We believe in diversity. We celebrate each other's individuality and unique skill sets.
Learn about cold shoulder, statement pieces, and ombre.
Be exposed to strange analogies.

How to Apply

Email your resume. You will be asked to take our basic screening quiz.

We are excited to talk with you!"
Senior Software Engineer,https://sfbay.craigslist.org/eby/sof/d/senior-software-engineer/6627709156.html,emeryville,Will discuss with applicant.,full-time,"Zymergen Inc. seeks Senior Software Engineer in Emeryville, CA.

Responsibilities: Responsible for the design and development of front-end software applications for Zymergen's specialized, internal software platform. Specific duties include: analyzing company needs for data management and workflow tools; writing Directive, Service, and Filter code components using AngularJS; designing and developing the user interface system using AngularJS and RESTful services, and JavaScript libraries; creating software development tools in JavaScript to streamline the software development process for lower-level engineers; writing Unit Tests and end-to-end tests to test and verify new and enhanced software; identifying and implementing effective bug-fixing solutions for issues identified during the testing and production phases; integrating new front-end code and workflow systems into Zymergen's proprietary software platforms; and other duties as assigned. 

Education:  Master's* degree in Computer Science, Software Engineering, or related field. 

Requirements: 2 years* of experience in the job offered or related positions. Other special requirements include: 2 years of experience working with AngularJS, Restful services, and Javacript libraries; 2 years of experience working with Javascript; 2 years of experience designing and developing user interface (UI) software; 2 years of experience creating software development tools as part of the front-end software development processes; and 2 years of experience designing user-facing programs using modern web design guidelines and technologies such as Bootstrap or AngularJS.  

*In lieu of a Master's degree in Computer Science, Software Engineering, or a related field and 2 years of experience, employer will accept applicants with a Bachelor's degree in Computer Science, Software Engineering, or a related field and 5 years of progressive, post-baccalaureate experience in the job offered or related positions. 

Qualified candidates must mail resume Attn: HR to 5980 Horton Street, Suite 105, Emeryville, CA 94608 quoting job #SSE018."
Software Engineer - Android,https://sfbay.craigslist.org/sby/web/d/software-engineer-android/6627708327.html,campbell,DOE,full-time,"Tend

As a brand of Spiraledge, Tend is making it simpler by helping farm managers streamline their farming operations. 

We hold a vision of building tools that enable anyone, anywhere, at any scale to grow good quality food. To that end, we've embarked on a mission to be the number-one tool at helping diversified farm managers streamline their farming operations, from planning through sales. You'll be joining a young company with a passionate team that strives to have a long-term major positive impact on the food system.

Position Summary:

We are looking for an enthusiastic and self-motivated engineer with strong experience in designing and building systems that are scalable and have strong service-oriented architectures.  You'll be working alongside product managers that are also farmers to help design and implement new features on Tend. If you want to join a team that loves living at the intersection of technology and farming, you need to join our team!

Responsibilities:

•	Participate in product and technology design sessions
•	Collaborate with Product Managers, designers, and other technical development resources
•	Write awesome, well performing, easy to maintain code
•	Participate in project and sprint planning for the development of new product and service features
•	Ability to work independently solving technical problems
•	Desire to work in a small team in a startup-up like environment
•	Perform other duties as requested
•	Maintain a positive work atmosphere that strengthens the team

Requirements:

•	Demonstrable experience in building Android apps
•	Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
•	Software development lifecycle / Agile methodologies
•	Familiar with working with micro-services architecture.
•	Familiarity with RESTful APIs to connect Android applications to back-end services
•	Expertise in the development of multi-language applications and related internationalization aspects
•	Strong knowledge of Android UI design principles, patterns, and best practices
•	Experience with offline storage, threading, and performance tuning
•	Ability to design applications around natural user interfaces, such as ""touch""
•	Experience in Agile/SCRUM and Unit Testing, Continuous Integration, Test-Driven Development
•	A clear passion for building tools to support sustainable high quality foods systems
•	Strong understanding of object oriented design principles

Desired (not required)

•	BS or MS in Computer Science
•	Knowledge of Google Cloud services such as Compute Engine, Cloud Functions, Cloud SQL and MySQL
•	Experience in mid-tier technologies such as Tomcat, Spring IO, and MySQL.

Physical Demands:

The employee is regularly required to sit, talk and hear frequently; use hands and fingers to type, write; reach with hands and arms for tasks such as keyboarding, opening filing cabinets, and some light lifting as necessary to function in an office environment. 

Click here to apply"
Software Engineer - Android,https://sfbay.craigslist.org/sby/tch/d/software-engineer-android/6627708323.html,campbell,DOE,full-time,"Tend

As a brand of Spiraledge, Tend is making it simpler by helping farm managers streamline their farming operations. 

We hold a vision of building tools that enable anyone, anywhere, at any scale to grow good quality food. To that end, we've embarked on a mission to be the number-one tool at helping diversified farm managers streamline their farming operations, from planning through sales. You'll be joining a young company with a passionate team that strives to have a long-term major positive impact on the food system.

Position Summary:

We are looking for an enthusiastic and self-motivated engineer with strong experience in designing and building systems that are scalable and have strong service-oriented architectures.  You'll be working alongside product managers that are also farmers to help design and implement new features on Tend. If you want to join a team that loves living at the intersection of technology and farming, you need to join our team!

Responsibilities:

•	Participate in product and technology design sessions
•	Collaborate with Product Managers, designers, and other technical development resources
•	Write awesome, well performing, easy to maintain code
•	Participate in project and sprint planning for the development of new product and service features
•	Ability to work independently solving technical problems
•	Desire to work in a small team in a startup-up like environment
•	Perform other duties as requested
•	Maintain a positive work atmosphere that strengthens the team

Requirements:

•	Demonstrable experience in building Android apps
•	Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
•	Software development lifecycle / Agile methodologies
•	Familiar with working with micro-services architecture.
•	Familiarity with RESTful APIs to connect Android applications to back-end services
•	Expertise in the development of multi-language applications and related internationalization aspects
•	Strong knowledge of Android UI design principles, patterns, and best practices
•	Experience with offline storage, threading, and performance tuning
•	Ability to design applications around natural user interfaces, such as ""touch""
•	Experience in Agile/SCRUM and Unit Testing, Continuous Integration, Test-Driven Development
•	A clear passion for building tools to support sustainable high quality foods systems
•	Strong understanding of object oriented design principles

Desired (not required)

•	BS or MS in Computer Science
•	Knowledge of Google Cloud services such as Compute Engine, Cloud Functions, Cloud SQL and MySQL
•	Experience in mid-tier technologies such as Tomcat, Spring IO, and MySQL.

Physical Demands:

The employee is regularly required to sit, talk and hear frequently; use hands and fingers to type, write; reach with hands and arms for tasks such as keyboarding, opening filing cabinets, and some light lifting as necessary to function in an office environment. 

Click here to apply"
Software Engineer - Android,https://sfbay.craigslist.org/sby/sof/d/software-engineer-android/6627708322.html,campbell,DOE,full-time,"Tend

As a brand of Spiraledge, Tend is making it simpler by helping farm managers streamline their farming operations. 

We hold a vision of building tools that enable anyone, anywhere, at any scale to grow good quality food. To that end, we've embarked on a mission to be the number-one tool at helping diversified farm managers streamline their farming operations, from planning through sales. You'll be joining a young company with a passionate team that strives to have a long-term major positive impact on the food system.

Position Summary:

We are looking for an enthusiastic and self-motivated engineer with strong experience in designing and building systems that are scalable and have strong service-oriented architectures.  You'll be working alongside product managers that are also farmers to help design and implement new features on Tend. If you want to join a team that loves living at the intersection of technology and farming, you need to join our team!

Responsibilities:

•	Participate in product and technology design sessions
•	Collaborate with Product Managers, designers, and other technical development resources
•	Write awesome, well performing, easy to maintain code
•	Participate in project and sprint planning for the development of new product and service features
•	Ability to work independently solving technical problems
•	Desire to work in a small team in a startup-up like environment
•	Perform other duties as requested
•	Maintain a positive work atmosphere that strengthens the team

Requirements:

•	Demonstrable experience in building Android apps
•	Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
•	Software development lifecycle / Agile methodologies
•	Familiar with working with micro-services architecture.
•	Familiarity with RESTful APIs to connect Android applications to back-end services
•	Expertise in the development of multi-language applications and related internationalization aspects
•	Strong knowledge of Android UI design principles, patterns, and best practices
•	Experience with offline storage, threading, and performance tuning
•	Ability to design applications around natural user interfaces, such as ""touch""
•	Experience in Agile/SCRUM and Unit Testing, Continuous Integration, Test-Driven Development
•	A clear passion for building tools to support sustainable high quality foods systems
•	Strong understanding of object oriented design principles

Desired (not required)

•	BS or MS in Computer Science
•	Knowledge of Google Cloud services such as Compute Engine, Cloud Functions, Cloud SQL and MySQL
•	Experience in mid-tier technologies such as Tomcat, Spring IO, and MySQL.

Physical Demands:

The employee is regularly required to sit, talk and hear frequently; use hands and fingers to type, write; reach with hands and arms for tasks such as keyboarding, opening filing cabinets, and some light lifting as necessary to function in an office environment. 

Click here to apply"
Software Support Engineer (087),https://sfbay.craigslist.org/sby/tch/d/software-support-engineer-087/6628460216.html,san jose north,Commensurate with experience,full-time,"Integra's support engineers are the focal point for addressing and resolving technical issues. This position is on our DocuTrack team and requires knowledge SMTP/FTP/WWW configuration, networking with TCP/IP, Windows Server, faxing, and MSFT SQL Administration."
Software Engineer,https://sfbay.craigslist.org/pen/hea/d/software-engineer/6628653410.html,south san francisco,D.O.E.,full-time,"The Health Plan of San Mateo (HPSM), a managed care health plan, seeks a full time Software Engineer to with systems users to ensure full utilization of HPSM's main production software and for writing or modifying programs that will enhance HPSM's computer system.

(COBOL, SQL, and DB2 experience required)

The essential duties and responsibilities will include the following:  

•Perform new release testing and implementation with appropriate documentation.
•Document errors and bugs in the claims/eligibility system and HPSM built software. 
•Manage Program Change Requests with users and vendors.
•Develop standardized and/or best practices testing processes.
•Develop, maintain, monitor, and ensure timeliness and accuracy of core system data processing and data interfaces (encounters/claims, membership, authorization, provider, configuration support, application and work flow support, etc.)
•Write new programs, modify existing programs, and prepare detailed programming specifications to meet the business user's requirements. 
•Author, maintain, and update documentation and checklists for systems and programs that are maintained by this position
•Manage vendor relationships as required to support daily operational needs.
•Actively seek customer satisfaction for services and processes that are supported.
•Advise management of system issues including policy decisions and application limitations.
•Be available to respond to and resolve issues 24/7.
•Learn new techniques, systems, and languages
•Produce ad hoc reports
•Perform other duties as assigned

Requirements:

Education and Experience: Bachelor's degree in Computer Science. Three (3) years of programming experience including system design and analysis, managed care experience, and preferably software change management and/or development experience.
Knowledge of: Healthcare and Claims processing in addition to membership processing. Software development on Unix AIX and DB2. Strong skills in Cobol and SQL. Query languages and other report writing tools. Systems and related systems interfaces and how changes impact various systems. Personal computers and proficiency in Microsoft Office Suite applications, including Outlook, Word, Excel, and PowerPoint.

Ability to: Quickly acquire a good working knowledge of HPSM's core system, as well COBOL and the AIX operating environment. Adapt to changes in requirements/priorities for daily and specialized tasks. Translate user needs to program functional specifications. Communicate and work with users to gather the necessary details to complete tasks/projects. Problem-solve and consider the entire solution. Work as part of a team. Work under and meet deadlines. Manage multiple job requests simultaneously. Communicate effectively and provide a high standard of customer service. Document work as needed.

Starting Compensation Range: - Depending on Experience 

Benefits Information: Excellent benefits package offered, including HPSM paid premiums for employee's coverage in the medical HMO plan and majority of PPO medical cost.  Employee pays a small portion (5%) of the dependent premiums for medical and dental benefits.  Additional HPSM benefits include fully paid vision, life, AD&D, STD, and LTD insurance; retirement plan (10% of salary for compensation/HPSM paid); holiday and vacation pay; tuition reimbursement plan; and more.

Application Process: To apply, submit a resume and cover letter with salary expectations to: Health Plan of San Mateo, Human Resources Department. File by: Continuous until filled. The Health Plan of San Mateo is proud to be an Equal Opportunity Employer and encourages minority candidates of all backgrounds to apply. 

Submissions without a Cover Letter and Salary Expectations may not be considered."
Software Engineer in Test - 113135459,https://sfbay.craigslist.org/sby/sof/d/software-engineer-in-test/6628847959.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
Senior Software Engineer,https://sfbay.craigslist.org/pen/sof/d/senior-software-engineer/6629635730.html,palo alto,$,full-time,"Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply: Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply: Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply:"
Software QA Engineer in Livermore,https://sfbay.craigslist.org/eby/sof/d/software-qa-engineer-in/6629729337.html,dublin / pleasanton / livermore,To be determined,full-time,"Looking for a high impact job with variety and challenge, and a reverse commute?  AGTEK - an established niche software company - is seeking an experienced software QA engineer for a permanent, full time position in Livermore.











Please email resume & cover letter. 



Founded in 1981, AGTEK Development Company, Inc. of Livermore, California, is widely and favorably recognized as the leading supplier of earthwork takeoff, production tracking and 3D modeling solutions for heavy construction contractors.  For more information, please Google ""agtek"" or visit www.agtek.com ."
Senior Software Engineer,https://sfbay.craigslist.org/pen/sof/d/senior-software-engineer/6635286630.html,palo alto,$,full-time,"Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply: Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply: Position Summary

Our software engineering team is growing and we're looking for a Senior Software Engineer to be part of a fast-paced, high-energy, FinTech team at Stanford Federal Credit Union. Our engineers are serious about the success of our organization and are given the tools and environment they need to succeed. In the near-term we will be making several big architectural changes that this person will be responsible for researching and helping implement.  If you are an experienced engineer with a passion for technology and solving complex business problems and believe planning, hard work, teamwork, and quality is what it takes to succeed, then this is the job for you.

Team Culture

Work - are you someone that takes ownership, enjoys work, and wants to have an impact?

Innovate - are you someone that can't stand the status-quo?  do you improve upon the ideas of others?

Create - Like to build?  Do you have a creative drive?  We embrace creativity.

Service - We're all about our members.  we expect you to be relentless in your defense of the member experience.  We'll do the same.

Key Responsibilities

Work with product management, designers, and our dev team to help create new member-facing products.

Lead out in architecture decisions, helping our tech team develop the tech stack that will enable unparalleled innovation in the years to come.

Develop strategies with team members to optimize our member-facing products.

Help us integrate with the top FinTech companies to provide our members with the best in class digital experience.

Job Requirements

3+ years software development experience in a full-stack capacity.

Experience in software architecture design and concepts.

Experience with Mongo, Python, or Node would be ideal.

Experience with AGILE and SCRUM methodologies.

Strong analytical and problem-solving skills

Demonstrated aptitude for learning new technologies.

Ability to communicate and interface with technical and non-technical member of the organization.

Working knowledge of development tools and processes, such as source control, requirement spec, design, and design review, debugging, unit test, system test, performance test, etc.

Preferred but not required - Bachelor's degree or higher in Computer Science, Information Systems or a related field or equivalent professional development experience.

To Apply:"
"Software Engineer, Security Platforms - 113987702",https://sfbay.craigslist.org/sby/sof/d/software-engineer-security/6636109908.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
AR/VR Software Engineer - 113743606,https://sfbay.craigslist.org/sby/sof/d/ar-vr-software-engineer/6636107861.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
Health Software Automation Engineer - 113509857,https://sfbay.craigslist.org/sby/sof/d/health-software-automation/6636129574.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
C# Software Engineer Part Time (students welcome!),https://sfbay.craigslist.org/pen/sof/d/software-engineer-part-time/6636177787.html,redwood city,"$17+ per hour, depending on experience level",part-time,"More Prices Inc is looking for a C# Software Development Engineer to join our team. An example of one of our consumer facing products is GetTextbooks.com where we lead the way in helping college students save money on their textbooks through real-time search.

Useful areas of experience:
- SQL
- AWS
- Javascript / CSS

This is a part time position with flexible hours, can lead to a full time position if desired."
Software Quality Assurance Automation Engineer,https://sfbay.craigslist.org/nby/sof/d/software-quality-assurance/6636333155.html,,-PerYear,full-time,
Senior Security Software Engineer - 113988232,https://sfbay.craigslist.org/sby/sof/d/senior-security-software/6636350261.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
UI Software Engineer - 114016435,https://sfbay.craigslist.org/sby/sof/d/ui-software-engineer/6636351946.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
Senior Software Engineer,https://sfbay.craigslist.org/sby/sof/d/senior-software-engineer/6638515644.html,,N/A,full-time,"Live Planet, Inc. seeks Senior Software Engineer in San Jose, California.

Responsibilities: Design, develop, and test live streaming and VOD solutions for 360 and virtual reality videos; create proprietary projections to convert standard 360 degree equirectangular videos into formats which can be efficiently encoded and delivered across the varying network conditions; work on user-facing documentation; develop new features and enhancements to Live Planet's video delivery platform; provide support for teams in resolving issues during quality testing and deployment; collaborate with multiple teams to build Android VR video player for platforms such as GearVR, DayDream, and Google Cardboard; research new ideas and implement various techniques for improvement of software solutions; may supervise the work of programmers and junior software engineers; other duties as assigned.

Requirements: Master's Degree in Computer Science, Electrical or Electronics Engineering, or related field (or foreign equivalent). Other special requirements include: Five (5) years of experience in the job offered or related position; 5 years of experience applying adaptive bitrate video techniques such as HLS; 5 years of experience using software programming and scripting languages such as C, C++, Java, Python and Shell Script; 5 years of experience leveraging video codecs including H.264/AVC, SVC, MPEG I and II, H.261, and VC-1; and 4 years of experience working in mobile codec development.

Please mail resume to Live Planet, Inc. Attn: Janina Dong, 75 E. Santa Clara Street, Suite 600, San Jose, CA 95113 quoting job #SSE718."
Software Engineer/Data Analyst,https://sfbay.craigslist.org/sby/sof/d/software-engineer-data-analyst/6638715607.html,los gatos,Competitive base salary plus full benefits,full-time,"Join our core engineering team that is developing NetLine's next generation lead-generation and online marketing solutions. Our team is working on a number of cutting-edge problems including building massive company and user profile databases, automating the process of gathering and verifying data, high traffic web applications, in-depth analytics and web-based marketing automation applications. Our software is built using Perl, PHP, Python, MySQL, memcache, Javascript & jQuery.

To apply, please go to our website:  

RESPONSIBILITIES:
•	Build systems to gather data from the web and other sources and cleanse, merge, structure and standardize it. Build scalable solution that can support 50-100M records per database.
•	Design, build, document, test, release and support new components of our web-based user-facing applications.
•	Maintain and support existing web applications by fixing critical bugs and adding new features.
•	Analyze traffic and usage patterns and make recommendations for optimizing the performance and effectiveness of the applications.
•	Build up  Machine Learning (ML) expertise to apply ML to predictive targeting of ads to people, ranking sales leads and various other problems.
•	Collaborate with other engineers on team projects, design reviews and code reviews.

REQUIREMENTS:
•	BS in Computer Science; MS preferred.
•	1-3 years of work experience.
•	Experience using Perl, PHP, Python or C++ in a Unix/Linux environment.
•	Experience using databases and MySQL.
•	Experience with algorithms and machine learning.
•	Strong verbal, written and interpersonal communication skills.
•	High levels of energy and creativity, and an enthusiasm for solving challenging problems.

To apply, please go to our website: 

About NetLine:
NetLine Corporation empowers B2B Marketers with an all-in-one solution to achieve lead generation success with content."
"Sr. Software QA Engineer, Video Apps - 114054008",https://sfbay.craigslist.org/sby/sof/d/sr-software-qa-engineer-video/6639039826.html,cupertino,Open,full-time,"Changing the world is all in a day's work at Apple. If you love innovation, here's your chance to make a career of it. You'll work hard. But the job comes with more than a few perks."
